2013-10-15 14:55:10 [INFO] [ForgeModLoader] Forge Mod Loader version 6.4.3.883 for Minecraft 1.6.4 loading
2013-10-15 14:55:10 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.7.0_21, running on Windows 8:amd64:6.2, installed at C:\Program Files\Java\jre7
2013-10-15 14:55:10 [FINE] [ForgeModLoader] Java classpath at launch is C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\minecraftforge\minecraftforge\9.11.0.883\minecraftforge-9.11.0.883.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\minecraft\launchwrapper\1.7\launchwrapper-1.7.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\ow2\asm\asm-all\4.1\asm-all-4.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\scala-lang\scala-library\2.10.2\scala-library-2.10.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\scala-lang\scala-compiler\2.10.2\scala-compiler-2.10.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\lzma\lzma\0.0.1\lzma-0.0.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\sf\jopt-simple\jopt-simple\4.5\jopt-simple-4.5.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\codecjorbis\20101023\codecjorbis-20101023.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\codecwav\20101023\codecwav-20101023.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\libraryjavasound\20101123\libraryjavasound-20101123.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\librarylwjglopenal\20100824\librarylwjglopenal-20100824.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\soundsystem\20120107\soundsystem-20120107.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\argo\argo\2.25_fixed\argo-2.25_fixed.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\bouncycastle\bcprov-jdk15on\1.47\bcprov-jdk15on-1.47.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\google\guava\guava\14.0\guava-14.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\apache\commons\commons-lang3\3.1\commons-lang3-3.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\commons-io\commons-io\2.4\commons-io-2.4.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\java\jinput\jinput\2.0.5\jinput-2.0.5.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\java\jutils\jutils\1.0.0\jutils-1.0.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\google\code\gson\gson\2.2.2\gson-2.2.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\lwjgl\lwjgl\lwjgl\2.9.0\lwjgl-2.9.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\lwjgl\lwjgl\lwjgl_util\2.9.0\lwjgl_util-2.9.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\versions\1.6.4-Forge9.11.0.883\1.6.4-Forge9.11.0.883.jar
2013-10-15 14:55:10 [FINE] [ForgeModLoader] Java library path at launch is C:\Users\cédric\AppData\Roaming\.minecraft\versions\1.6.4-Forge9.11.0.883\1.6.4-Forge9.11.0.883-natives-510312070840968
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Loaded coremod FMLCorePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Loaded coremod FMLForgePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Discovering coremods
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2013-10-15 14:55:11 [INFO] [STDOUT] Loaded 40 rules from AccessTransformer config file fml_at.cfg
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.ForgeAccessTransformer
2013-10-15 14:55:11 [INFO] [STDOUT] Loaded 109 rules from AccessTransformer config file forge_at.cfg
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.EventTransformer
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Running coremod plugins
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.Block.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockBaseRailLogic.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockButton.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockCactus.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockChest.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockCocoa.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockComparator.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockCrops.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockDoor.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockFarmland.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockFire.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockFlower.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockFlowing.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockFluid.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockGrass.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockLadder.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockLeaves.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockLever.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockLog.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockMushroom.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockMycelium.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockNetherStalk.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockPane.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockPistonBase.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockPortal.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockPumpkin.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockRailBase.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockRedstoneWire.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockReed.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockSand.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockSapling.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockSkull.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockSnow.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockStem.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockTallGrass.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockTorch.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockTrapDoor.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockTripWireSource.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.block.BlockVine.binpatch
